i,x_i,v_i,E_i
0,-3.09253,-5.87556e-05,-5.45651e-05
1,-2.9944,-0.000176267,-0.000163695
2,-2.89627,-0.000293778,-0.000272826
3,-2.79814,-0.000411289,-0.000381956
4,-2.70001,-0.0005288,-0.000491086
5,-2.60188,-0.000646311,-0.000600216
6,-2.50375,-0.000763823,-0.000709347
7,-2.40563,-0.000881334,-0.000818479
8,-2.3075,-0.000998834,-0.000927525
9,-2.20937,-0.0011163,-0.00103629
10,-2.11124,-0.0012348,-0.00114936
11,-2.01311,-0.00135825,-0.00128304
12,-1.91497,-0.00145695,-0.00139651
13,-1.81676,-0.00135797,-0.00134144
14,-1.71853,-0.00122531,-0.00125242
15,-1.62004,-0.000408106,-0.000416076
16,-1.52155,0.000409099,0.00042027
17,-1.42315,0.000989868,0.000996778
18,-1.32476,0.00156688,0.00156947
19,-1.22661,0.00148824,0.00144427
20,-1.12848,0.00135354,0.00126304
21,-1.03035,0.00123371,0.00114468
22,-0.932225,0.00111633,0.00103655
23,-0.834096,0.000998846,0.000927614
24,-0.735967,0.000881334,0.000818478
25,-0.637838,0.000763823,0.000709346
26,-0.539709,0.000646311,0.000600216
27,-0.44158,0.0005288,0.000491086
28,-0.343451,0.000411289,0.000381956
29,-0.245322,0.000293778,0.000272826
30,-0.147193,0.000176267,0.000163695
31,-0.0490645,5.87556e-05,5.45651e-05
32,0.0490645,-5.87556e-05,-5.45651e-05
33,0.147193,-0.000176267,-0.000163695
34,0.245322,-0.000293778,-0.000272826
35,0.343451,-0.000411289,-0.000381956
36,0.44158,-0.0005288,-0.000491086
37,0.539709,-0.000646311,-0.000600216
38,0.637838,-0.000763823,-0.000709346
39,0.735967,-0.000881334,-0.000818478
40,0.834096,-0.000998846,-0.000927614
41,0.932225,-0.00111633,-0.00103655
42,1.03035,-0.00123371,-0.00114468
43,1.12848,-0.00135354,-0.00126304
44,1.22661,-0.00148824,-0.00144427
45,1.32476,-0.00156688,-0.00156947
46,1.42315,-0.000989868,-0.000996778
47,1.52155,-0.000409099,-0.00042027
48,1.62004,0.000408106,0.000416076
49,1.71853,0.00122531,0.00125242
50,1.81676,0.00135797,0.00134144
51,1.91497,0.00145695,0.00139651
52,2.01311,0.00135825,0.00128304
53,2.11124,0.0012348,0.00114936
54,2.20937,0.0011163,0.00103629
55,2.3075,0.000998834,0.000927525
56,2.40563,0.000881334,0.000818479
57,2.50375,0.000763823,0.000709347
58,2.60188,0.000646311,0.000600216
59,2.70001,0.0005288,0.000491086
60,2.79814,0.000411289,0.000381956
61,2.89627,0.000293778,0.000272826
62,2.9944,0.000176267,0.000163695
63,3.09253,5.87556e-05,5.45651e-05
